hour,fluctuate,trend,shock,up_value,up_prob
00:00:00,4.64,2.38,0.54,-0.26,0.05
01:00:00,4.98,2.48,0.55,-0.4,-0.05
02:00:00,6.04,3.3,0.47,0.52,-0.14
03:00:00,5.28,2.54,0.58,0.0,0.05
13:00:00,4.15,1.82,0.57,0.17,0.09
14:00:00,4.81,2.14,0.6,0.46,-0.18
15:00:00,5.76,2.74,0.51,0.28,0.18
16:00:00,6.31,3.27,0.51,0.26,-0.09
17:00:00,4.25,1.74,0.63,1.34,0.64
18:00:00,5.48,2.83,0.53,-0.58,0.0
19:00:00,5.26,2.76,0.49,0.42,0.09
20:00:00,10.81,5.49,0.54,-0.86,-0.27
21:00:00,10.73,5.2,0.54,-1.42,-0.14
22:00:00,8.96,4.64,0.53,0.3,0.24
23:00:00,7.04,3.15,0.58,-0.88,-0.24
