fluctuate,trend,shock,up_value,up_prob,count,price,last_time
3.63,2.02,0.55,0.22,-0.09,44.0,1869.0,2022-05-06 09:53:00
3.58,1.56,0.6,0.2,-0.09,35.0,1870.0,2022-05-06 10:14:00
4.29,2.07,0.52,-0.03,-0.17,29.0,1871.0,2022-05-06 10:27:00
4.79,2.42,0.47,0.8,0.25,16.0,1872.0,2022-05-06 10:33:00
6.24,3.2,0.47,0.53,0.07,15.0,1873.0,2022-05-06 10:45:00
4.45,2.26,0.46,1.17,0.52,33.0,1874.0,2022-05-06 16:04:00
4.1,1.59,0.62,0.62,0.25,40.0,1875.0,2022-05-06 16:17:00
3.31,1.92,0.48,-0.08,-0.17,41.0,1876.0,2022-05-06 16:19:00
2.79,1.75,0.41,-0.09,-0.09,33.0,1877.0,2022-05-06 16:23:00
3.04,1.42,0.51,0.89,0.33,21.0,1878.0,2022-05-06 16:31:00
3.16,2.1,0.32,-0.07,0.0,22.0,1879.0,2022-05-06 16:33:00
3.27,1.45,0.54,-0.01,-0.13,23.0,1880.0,2022-05-06 16:46:00
4.3,2.18,0.54,0.53,-0.06,17.0,1881.0,2022-05-06 17:26:00
3.55,2.28,0.4,0.44,0.25,24.0,1882.0,2022-05-06 20:06:00
3.43,1.77,0.53,0.98,0.04,54.0,1883.0,2022-05-06 20:20:00
3.64,1.68,0.5,0.29,-0.07,41.0,1884.0,2022-05-06 19:48:00
3.89,1.63,0.61,-0.01,0.06,53.0,1885.0,2022-05-06 19:02:00
3.28,1.37,0.56,-0.66,-0.45,62.0,1886.0,2022-05-05 22:59:00
3.61,1.78,0.49,-0.4,-0.02,45.0,1887.0,2022-05-05 22:36:00
3.24,1.74,0.49,-0.59,-0.22,51.0,1888.0,2022-05-05 22:38:00
3.53,1.61,0.55,-0.85,-0.32,47.0,1889.0,2022-05-05 22:40:00
3.44,1.98,0.49,-0.78,-0.09,22.0,1890.0,2022-05-05 22:14:00
4.14,2.45,0.42,-1.1,-0.2,30.0,1891.0,2022-05-05 22:15:00
4.57,2.71,0.41,-1.33,-0.33,21.0,1892.0,2022-05-05 22:17:00
4.06,2.03,0.46,-0.04,0.36,22.0,1893.0,2022-05-05 22:18:00
3.96,1.9,0.56,-0.37,0.1,40.0,1894.0,2022-05-05 22:19:00
3.12,1.59,0.57,-0.1,0.02,51.0,1895.0,2022-05-05 21:53:00
3.42,1.65,0.53,-0.53,-0.12,48.0,1896.0,2022-05-05 21:50:00
3.14,1.39,0.6,-0.01,0.11,63.0,1897.0,2022-05-05 21:46:00
3.27,1.59,0.55,0.06,0.03,76.0,1898.0,2022-05-05 21:38:00
3.16,1.67,0.51,-0.45,-0.06,66.0,1899.0,2022-05-05 21:43:00
3.46,1.94,0.49,-0.88,-0.2,60.0,1900.0,2022-05-05 21:39:00
3.16,1.68,0.52,-0.46,-0.33,75.0,1901.0,2022-05-05 21:24:00
3.37,1.8,0.5,0.18,0.24,66.0,1902.0,2022-05-05 21:25:00
2.93,1.55,0.5,-0.76,-0.49,63.0,1903.0,2022-05-05 21:25:00
3.0,1.62,0.49,-0.48,-0.07,45.0,1904.0,2022-05-05 21:17:00
3.18,1.72,0.46,0.03,-0.1,42.0,1905.0,2022-05-05 20:46:00
3.27,1.66,0.54,-0.5,-0.35,40.0,1906.0,2022-05-05 21:11:00
3.51,1.61,0.57,-0.5,-0.19,32.0,1907.0,2022-05-05 21:05:00
3.75,1.82,0.55,-0.91,-0.33,27.0,1908.0,2022-05-05 21:06:00
4.28,2.48,0.48,-1.07,-0.31,29.0,1909.0,2022-05-05 20:50:00
