fluctuate,trend,shock,up_value,up_prob,count,price,last_time
5.02,3.32,0.54,0.84,-0.25,8.0,1869.0,2022-05-06 09:37:00
2.55,0.78,0.69,0.41,0.0,6.0,1870.0,2022-05-06 10:14:00
3.19,1.72,0.44,-0.82,-0.4,10.0,1871.0,2022-05-06 10:27:00
3.83,1.65,0.43,-0.7,0.0,2.0,1872.0,2022-05-05 02:08:00
5.63,0.9,0.84,-0.9,-1.0,1.0,1873.0,2022-05-05 02:04:00
2.83,1.76,0.35,1.76,1.0,3.0,1874.0,2022-05-06 16:04:00
2.91,0.99,0.65,0.47,0.33,9.0,1875.0,2022-05-06 16:06:00
3.08,1.24,0.6,0.18,0.5,4.0,1876.0,2022-05-06 15:26:00
1.78,0.78,0.67,0.53,0.5,4.0,1877.0,2022-05-06 16:22:00
1.82,0.46,0.77,-0.45,-0.33,3.0,1878.0,2022-05-06 04:02:00
1.92,1.2,0.34,0.25,0.0,2.0,1879.0,2022-05-06 03:47:00
3.63,2.31,0.42,1.2,0.2,5.0,1880.0,2022-05-06 16:36:00
3.66,2.18,0.41,-0.73,0.0,4.0,1881.0,2022-05-06 16:51:00
3.94,2.17,0.54,0.46,-0.2,5.0,1882.0,2022-05-06 19:23:00
2.71,1.36,0.57,0.55,-0.11,9.0,1883.0,2022-05-06 19:40:00
4.06,2.53,0.42,0.16,-0.33,3.0,1884.0,2022-05-05 07:08:00
4.55,2.0,0.62,-0.07,0.09,11.0,1885.0,2022-05-05 22:56:00
2.8,1.27,0.56,-0.7,-0.62,16.0,1886.0,2022-05-05 03:00:00
3.6,1.66,0.52,-0.88,-0.33,12.0,1887.0,2022-05-05 22:36:00
2.97,2.1,0.4,-0.07,-0.6,5.0,1888.0,2022-05-05 07:37:00
3.08,1.5,0.5,-1.17,-0.71,7.0,1889.0,2022-05-02 11:09:00
2.73,0.79,0.74,0.57,0.2,5.0,1890.0,2022-05-05 16:41:00
3.1,3.05,0.02,-3.05,-1.0,1.0,1891.0,2022-05-02 10:02:00
3.79,1.92,0.59,-1.33,-0.5,4.0,1892.0,2022-04-29 02:10:00
3.46,1.25,0.51,1.09,0.71,7.0,1893.0,2022-05-05 22:02:00
5.01,3.32,0.42,-0.44,0.2,10.0,1894.0,2022-05-05 22:19:00
3.87,2.77,0.4,0.29,0.11,9.0,1895.0,2022-05-05 21:53:00
3.07,1.25,0.57,-0.47,0.0,10.0,1896.0,2022-04-30 03:56:00
3.45,1.88,0.48,0.29,0.0,8.0,1897.0,2022-05-05 19:37:00
3.21,1.71,0.49,0.38,0.3,20.0,1898.0,2022-05-05 20:02:00
3.58,2.08,0.43,0.9,0.5,12.0,1899.0,2022-05-05 21:43:00
2.86,1.54,0.52,-0.88,0.0,12.0,1900.0,2022-05-05 12:19:00
3.15,1.01,0.63,-0.27,-0.25,8.0,1901.0,2022-05-05 21:24:00
3.05,1.48,0.6,0.59,0.56,9.0,1902.0,2022-05-05 11:28:00
2.46,1.26,0.55,-1.04,-0.53,17.0,1903.0,2022-04-30 03:11:00
3.23,1.88,0.5,-1.3,-0.33,6.0,1904.0,2022-04-30 03:18:00
4.42,2.72,0.33,1.59,0.43,7.0,1905.0,2022-05-05 20:35:00
3.08,1.62,0.54,-0.86,-0.6,10.0,1906.0,2022-04-29 23:18:00
4.3,2.18,0.58,-0.89,0.0,6.0,1907.0,2022-05-05 21:05:00
4.39,1.37,0.69,-0.76,-0.33,6.0,1908.0,2022-05-05 20:54:00
3.93,2.12,0.45,2.12,1.0,3.0,1909.0,2022-04-29 20:55:00
