fluctuate,trend,shock,up_value,up_prob,count,price,last_time
2.91,1.09,0.64,-0.52,-0.14,14.0,1869.0,2022-05-06 09:24:00
4.27,2.07,0.62,0.77,-0.17,12.0,1870.0,2022-05-05 02:41:00
6.58,2.8,0.68,2.04,0.5,8.0,1871.0,2022-05-05 02:41:00
4.03,1.5,0.53,0.97,0.5,4.0,1872.0,2022-05-05 02:13:00
3.97,2.74,0.35,2.74,1.0,6.0,1873.0,2022-05-06 10:45:00
4.56,1.83,0.43,1.31,0.45,11.0,1874.0,2022-05-06 15:12:00
4.11,1.02,0.63,0.22,-0.17,12.0,1875.0,2022-05-06 16:10:00
3.38,2.26,0.41,0.31,-0.29,17.0,1876.0,2022-05-06 16:19:00
2.71,1.97,0.28,-0.55,-0.33,12.0,1877.0,2022-05-06 14:25:00
3.0,1.47,0.58,0.84,0.2,5.0,1878.0,2022-05-06 03:24:00
2.51,1.5,0.44,0.07,0.0,8.0,1879.0,2022-05-06 16:33:00
3.26,1.92,0.39,-1.1,-0.5,4.0,1880.0,2022-05-06 03:40:00
7.09,4.28,0.44,2.32,0.0,2.0,1881.0,2022-05-05 23:31:00
2.73,1.64,0.4,0.38,0.33,6.0,1882.0,2022-05-06 17:45:00
2.86,1.68,0.44,0.58,0.17,12.0,1883.0,2022-05-06 20:08:00
3.45,1.64,0.49,-0.15,-0.2,15.0,1884.0,2022-05-06 19:44:00
3.53,1.33,0.65,0.41,0.14,14.0,1885.0,2022-05-05 07:12:00
3.26,0.62,0.77,-0.26,-0.38,13.0,1886.0,2022-05-05 07:14:00
3.44,1.89,0.42,-0.51,0.0,16.0,1887.0,2022-05-05 03:10:00
4.39,2.19,0.52,-1.59,-0.69,13.0,1888.0,2022-05-05 22:38:00
3.84,1.96,0.55,-1.12,-0.38,16.0,1889.0,2022-05-05 22:27:00
3.1,2.47,0.31,0.05,0.0,6.0,1890.0,2022-05-05 16:32:00
3.51,2.08,0.44,-1.05,-0.23,13.0,1891.0,2022-05-05 22:15:00
4.84,2.7,0.49,-1.12,-0.14,7.0,1892.0,2022-05-05 22:15:00
3.59,1.77,0.44,1.12,0.33,3.0,1893.0,2022-05-05 15:30:00
3.83,1.57,0.54,0.05,0.2,5.0,1894.0,2022-05-05 21:58:00
3.41,1.82,0.52,0.08,0.07,15.0,1895.0,2022-05-05 17:10:00
3.55,1.84,0.52,-0.44,-0.12,16.0,1896.0,2022-05-05 19:31:00
3.23,0.97,0.73,-0.12,-0.07,15.0,1897.0,2022-05-05 19:31:00
2.88,1.29,0.54,-0.11,-0.18,17.0,1898.0,2022-05-05 19:21:00
3.07,1.72,0.5,-1.11,-0.22,18.0,1899.0,2022-05-05 19:09:00
3.29,1.68,0.56,-0.79,-0.6,20.0,1900.0,2022-05-05 20:16:00
2.97,1.52,0.53,0.09,-0.12,16.0,1901.0,2022-05-05 20:30:00
3.39,1.53,0.58,0.45,0.17,24.0,1902.0,2022-05-05 20:30:00
3.04,1.5,0.49,-0.86,-0.47,15.0,1903.0,2022-05-05 20:30:00
2.69,1.34,0.49,-0.38,0.27,11.0,1904.0,2022-05-05 21:17:00
2.5,1.22,0.49,-0.42,0.11,9.0,1905.0,2022-04-29 12:46:00
2.41,0.77,0.59,0.14,0.0,6.0,1906.0,2022-05-05 20:47:00
2.96,0.88,0.71,0.81,0.43,7.0,1907.0,2022-04-30 00:13:00
3.88,2.09,0.48,-1.65,-0.67,12.0,1908.0,2022-05-05 20:49:00
4.19,2.38,0.47,-0.78,-0.17,12.0,1909.0,2022-04-30 02:15:00
