fluctuate,trend,shock,up_value,up_prob,count,price,last_time
3.84,2.32,0.49,0.94,-0.06,51.0,-1869.0,2022-05-06 09:38:00
3.67,1.52,0.62,0.48,0.18,34.0,-1870.0,2022-05-06 10:13:00
3.67,1.88,0.51,0.05,-0.29,28.0,-1871.0,2022-05-06 10:24:00
4.47,2.35,0.45,0.6,0.11,18.0,-1872.0,2022-05-06 09:21:00
6.12,3.05,0.4,-0.63,-0.12,16.0,-1873.0,2022-05-06 10:41:00
4.42,2.75,0.35,1.02,0.65,34.0,-1874.0,2022-05-06 16:00:00
3.8,1.77,0.54,0.84,0.35,40.0,-1875.0,2022-05-06 16:11:00
2.68,1.09,0.59,-0.26,-0.14,37.0,-1876.0,2022-05-06 15:31:00
2.44,1.42,0.48,-0.28,-0.03,33.0,-1877.0,2022-05-06 13:41:00
2.1,1.01,0.53,0.24,0.0,20.0,-1878.0,2022-05-06 16:28:00
3.23,2.03,0.38,0.13,-0.04,25.0,-1879.0,2022-05-06 16:41:00
3.44,1.67,0.55,-0.07,-0.18,22.0,-1880.0,2022-05-06 16:37:00
4.55,2.64,0.48,0.24,0.12,16.0,-1881.0,2022-05-06 17:22:00
3.3,2.27,0.33,0.53,0.44,25.0,-1882.0,2022-05-06 20:03:00
3.49,2.08,0.49,1.49,0.18,49.0,-1883.0,2022-05-06 20:19:00
3.57,2.0,0.45,0.86,0.12,41.0,-1884.0,2022-05-06 19:52:00
3.85,1.84,0.54,0.76,0.36,56.0,-1885.0,2022-05-06 19:04:00
3.04,1.29,0.6,-0.03,-0.03,66.0,-1886.0,2022-05-05 23:00:00
3.38,1.62,0.49,0.19,0.0,48.0,-1887.0,2022-05-05 22:43:00
3.19,1.48,0.53,-0.14,-0.04,52.0,-1888.0,2022-05-05 22:41:00
3.48,1.62,0.53,-0.64,-0.13,46.0,-1889.0,2022-05-05 22:41:00
3.82,1.85,0.48,-1.32,-0.36,25.0,-1890.0,2022-05-05 22:24:00
4.28,2.32,0.45,-0.82,-0.33,33.0,-1891.0,2022-05-05 22:24:00
4.94,2.5,0.53,-0.7,-0.13,23.0,-1892.0,2022-05-05 22:23:00
4.68,2.17,0.52,0.08,0.0,22.0,-1893.0,2022-05-05 22:23:00
4.16,2.16,0.49,-0.05,0.05,40.0,-1894.0,2022-05-05 22:21:00
3.12,1.63,0.52,0.31,0.24,55.0,-1895.0,2022-05-05 21:54:00
3.41,1.58,0.53,-0.3,-0.14,44.0,-1896.0,2022-05-05 21:51:00
3.29,1.66,0.5,0.25,0.23,60.0,-1897.0,2022-05-05 21:48:00
3.3,1.61,0.54,0.15,0.12,75.0,-1898.0,2022-05-05 21:44:00
3.24,1.66,0.51,-0.23,0.09,64.0,-1899.0,2022-05-05 21:44:00
3.6,2.09,0.46,-0.87,0.02,57.0,-1900.0,2022-05-05 21:41:00
3.17,1.61,0.54,-0.45,-0.22,72.0,-1901.0,2022-05-05 21:34:00
3.41,1.92,0.46,0.29,0.11,63.0,-1902.0,2022-05-05 21:33:00
2.72,1.19,0.58,-0.69,-0.3,66.0,-1903.0,2022-05-05 21:30:00
3.2,1.73,0.53,-0.18,-0.2,50.0,-1904.0,2022-05-05 21:19:00
3.37,1.85,0.5,0.22,-0.21,43.0,-1905.0,2022-05-05 21:16:00
3.3,1.67,0.54,-0.54,-0.22,41.0,-1906.0,2022-05-05 21:16:00
3.53,1.83,0.5,-0.44,-0.06,36.0,-1907.0,2022-05-05 21:08:00
3.94,2.06,0.52,-0.66,-0.13,30.0,-1908.0,2022-05-05 21:07:00
4.36,2.35,0.51,-0.69,-0.23,31.0,-1909.0,2022-05-05 20:51:00
