fluctuate,trend,shock,up_value,up_prob,count,price,last_time
3.11,1.49,0.57,0.4,0.14,14.0,-1869.0,2022-05-06 09:33:00
3.45,1.4,0.55,-0.36,0.08,13.0,-1870.0,2022-05-06 10:06:00
5.62,2.94,0.54,1.06,-0.25,8.0,-1871.0,2022-05-06 10:20:00
5.88,2.64,0.52,1.33,0.25,8.0,-1872.0,2022-05-06 09:21:00
9.05,3.93,0.49,-0.93,-0.2,5.0,-1873.0,2022-05-05 02:30:00
5.6,3.7,0.29,0.14,0.45,11.0,-1874.0,2022-05-06 15:11:00
4.04,1.77,0.56,1.7,0.8,10.0,-1875.0,2022-05-06 15:53:00
2.47,1.28,0.48,0.86,0.33,9.0,-1876.0,2022-05-06 15:10:00
2.48,1.19,0.52,-0.6,-0.2,10.0,-1877.0,2022-05-06 07:17:00
2.42,1.4,0.43,0.32,0.33,6.0,-1878.0,2022-05-06 04:08:00
2.83,1.87,0.32,-0.49,-0.33,6.0,-1879.0,2022-05-06 03:51:00
3.7,1.99,0.49,-0.48,-0.25,8.0,-1880.0,2022-05-05 23:46:00
3.78,1.87,0.57,-0.62,0.33,3.0,-1881.0,2022-05-06 17:22:00
3.23,2.38,0.19,1.31,0.5,8.0,-1882.0,2022-05-06 19:19:00
3.11,1.81,0.5,1.15,0.22,18.0,-1883.0,2022-05-06 20:19:00
3.96,2.66,0.37,1.78,0.0,10.0,-1884.0,2022-05-05 03:47:00
3.7,2.31,0.43,1.31,0.33,12.0,-1885.0,2022-05-05 04:15:00
3.26,1.28,0.61,-0.41,-0.1,20.0,-1886.0,2022-05-05 23:00:00
3.59,1.57,0.51,-0.62,-0.27,11.0,-1887.0,2022-05-05 22:33:00
3.16,1.1,0.61,-0.07,-0.12,16.0,-1888.0,2022-05-05 07:16:00
4.58,1.77,0.51,-1.06,-0.25,8.0,-1889.0,2022-05-05 22:09:00
4.2,1.62,0.55,-1.3,-0.5,8.0,-1890.0,2022-05-05 22:09:00
3.26,2.4,0.33,0.96,-0.14,7.0,-1891.0,2022-05-05 16:36:00
5.33,3.23,0.36,-0.27,0.0,8.0,-1892.0,2022-05-05 16:10:00
4.51,3.04,0.32,0.89,0.33,9.0,-1893.0,2022-05-05 16:10:00
4.18,2.39,0.37,0.39,0.0,12.0,-1894.0,2022-05-05 22:00:00
3.0,1.64,0.47,0.49,0.64,11.0,-1895.0,2022-05-05 17:33:00
3.32,1.46,0.54,0.4,0.09,11.0,-1896.0,2022-05-05 21:45:00
3.64,1.86,0.47,-0.59,0.0,16.0,-1897.0,2022-05-05 21:45:00
2.9,1.42,0.55,-0.12,0.09,22.0,-1898.0,2022-05-05 19:57:00
3.51,1.76,0.49,-0.44,-0.14,21.0,-1899.0,2022-05-05 21:36:00
3.46,1.83,0.44,-0.85,-0.17,12.0,-1900.0,2022-05-05 13:57:00
2.95,1.44,0.51,-0.72,-0.33,18.0,-1901.0,2022-05-05 13:19:00
3.68,1.89,0.48,0.47,0.2,15.0,-1902.0,2022-05-05 21:20:00
2.84,0.99,0.66,-0.33,-0.06,17.0,-1903.0,2022-05-05 21:20:00
3.0,1.43,0.57,-0.21,-0.2,15.0,-1904.0,2022-05-05 20:44:00
2.18,1.15,0.48,0.06,-0.33,9.0,-1905.0,2022-04-30 03:09:00
3.24,2.02,0.46,-1.13,-0.43,14.0,-1906.0,2022-04-29 23:23:00
4.34,2.04,0.51,-0.45,0.0,8.0,-1907.0,2022-05-05 21:08:00
4.09,1.69,0.59,-1.13,-0.43,7.0,-1908.0,2022-04-30 03:00:00
4.53,3.3,0.35,-0.63,0.0,10.0,-1909.0,2022-04-30 02:50:00
